Category_Use,Cat_total,Cat_Unemp,Cat_Median
Agriculture & Natural Resources,632437,0.037,52411
Arts,1805865,0.073,48943
Biology & Life Science,1338186,0.057,51420
Business,9858741,0.055,60037
Communications & Journalism,1803822,0.066,49766
Computers & Mathematics,1781378,0.054,70205
Education,4700118,0.042,42519
Engineering,3576013,0.053,77930
Health,2950859,0.033,61820
Humanities & Liberal Arts,3738335,0.067,48070
Industrial Arts & Consumer Services,1033798,0.051,47313
Interdisciplinary,45199,0.077,43000
Law & Public Policy,902926,0.057,50378
Physical Sciences,1025318,0.051,59791
Psychology & Social Work,1987278,0.069,43985
Social Science,2654125,0.066,57105
